id,condition,timeRange,location,average
994898,sunny,night,Tokyo,27
994899,windy,afternoon,London,27
994900,sunny,afternoon,London,21
994901,sunny,night,Sydney,29
994902,snowy,evening,Sydney,15
994903,snowy,morning,Berlin,16
994904,windy,night,Berlin,23
994905,stormy,afternoon,London,13
994906,snowy,evening,Paris,27
994907,snowy,evening,New York,29
994908,windy,night,New York,17
994909,rainy,evening,Tokyo,16
994910,windy,afternoon,Paris,27
994911,cloudy,night,Sydney,24
994912,windy,evening,London,23
994913,rainy,afternoon,Tokyo,16
994914,snowy,evening,Paris,18
994915,cloudy,morning,London,21
994916,windy,morning,London,16
994917,windy,evening,Tokyo,27
994918,cloudy,night,Berlin,14
994919,rainy,night,New York,20
994920,rainy,morning,Paris,17
994921,snowy,afternoon,Paris,29
994922,cloudy,night,London,27
994923,snowy,afternoon,New York,12
994924,rainy,evening,Berlin,15
994925,rainy,morning,Tokyo,12
994926,snowy,morning,Sydney,22
994927,snowy,evening,New York,15
994928,sunny,afternoon,New York,17
994929,stormy,night,London,27
994930,rainy,evening,Paris,21
994931,snowy,afternoon,Berlin,11
994932,stormy,afternoon,Berlin,11
994933,cloudy,evening,New York,11
994934,sunny,evening,Tokyo,15
994935,rainy,morning,New York,27
994936,rainy,evening,Tokyo,12
994937,rainy,night,Tokyo,26
994938,rainy,afternoon,New York,28
994939,sunny,afternoon,Berlin,16
994940,cloudy,evening,Berlin,13
994941,snowy,morning,Paris,18
994942,rainy,afternoon,Sydney,17
994943,snowy,evening,Sydney,15
994944,rainy,evening,Tokyo,12
994945,windy,evening,New York,23
994946,snowy,night,Sydney,14
994947,stormy,morning,New York,27
994948,windy,evening,Berlin,23
994949,sunny,morning,Paris,18
994950,windy,night,Paris,17
994951,sunny,evening,Tokyo,19
994952,cloudy,evening,New York,10
994953,stormy,evening,Paris,11
994954,stormy,morning,New York,10
994955,snowy,afternoon,Paris,29
994956,snowy,afternoon,London,22
994957,windy,morning,New York,17
994958,snowy,morning,New York,18
994959,stormy,morning,Sydney,28
994960,rainy,night,Tokyo,12
994961,cloudy,night,London,25
994962,rainy,morning,London,11
994963,rainy,night,Sydney,24
994964,windy,evening,New York,20
994965,sunny,morning,Sydney,19
994966,snowy,night,Sydney,17
994967,cloudy,night,Tokyo,15
994968,snowy,afternoon,Paris,27
994969,sunny,evening,Berlin,26
994970,cloudy,morning,New York,16
994971,snowy,evening,Sydney,17
994972,windy,night,New York,16
994973,sunny,afternoon,New York,19
994974,cloudy,night,New York,27
994975,stormy,evening,Paris,19
994976,snowy,afternoon,Berlin,25
994977,cloudy,morning,Paris,22
994978,rainy,afternoon,London,27
994979,cloudy,evening,New York,25
994980,rainy,morning,Paris,11
994981,windy,evening,Tokyo,14
994982,snowy,evening,Berlin,27
994983,stormy,night,Tokyo,10
994984,cloudy,morning,London,28
994985,windy,evening,London,22
994986,sunny,morning,New York,10
994987,sunny,afternoon,Tokyo,17
994988,windy,evening,Tokyo,25
994989,sunny,afternoon,Sydney,12
994990,snowy,evening,London,26
994991,stormy,afternoon,Berlin,22
994992,sunny,morning,Sydney,28
994993,snowy,morning,Berlin,20
994994,windy,night,London,28
994995,windy,night,New York,15
994996,rainy,afternoon,Tokyo,23
994997,rainy,afternoon,Paris,15
994998,snowy,night,Paris,23
994999,rainy,night,Tokyo,19
995000,cloudy,evening,Sydney,26
995001,stormy,morning,Sydney,23
995002,snowy,afternoon,Paris,20
995003,sunny,afternoon,Berlin,26
995004,snowy,afternoon,London,11
995005,rainy,night,Paris,11
995006,windy,evening,Paris,24
995007,sunny,night,Paris,28
995008,stormy,evening,New York,20
995009,snowy,evening,London,13
995010,snowy,morning,New York,24
995011,sunny,morning,New York,26
995012,sunny,morning,Paris,20
995013,stormy,afternoon,Tokyo,29
995014,sunny,night,Berlin,28
995015,stormy,morning,Sydney,25
995016,rainy,night,New York,18
995017,rainy,evening,Tokyo,22
995018,cloudy,afternoon,Sydney,14
995019,cloudy,afternoon,Tokyo,22
995020,stormy,afternoon,Tokyo,27
995021,stormy,night,Tokyo,26
995022,sunny,afternoon,Tokyo,10
995023,rainy,morning,New York,15
995024,rainy,evening,Paris,16
995025,stormy,night,New York,15
995026,cloudy,afternoon,Sydney,11
995027,snowy,evening,Berlin,25
995028,windy,evening,New York,25
995029,snowy,evening,Tokyo,17
995030,rainy,afternoon,Berlin,20
995031,snowy,night,Tokyo,15
995032,snowy,night,New York,22
995033,cloudy,night,London,19
995034,windy,night,Berlin,24
995035,sunny,afternoon,Tokyo,13
995036,sunny,morning,Paris,28
995037,sunny,morning,Berlin,19
995038,cloudy,evening,London,27
995039,snowy,night,London,23
995040,stormy,morning,New York,29
995041,windy,afternoon,Paris,14
995042,sunny,night,London,28
995043,stormy,evening,Berlin,25
995044,rainy,afternoon,New York,25
995045,windy,night,Berlin,13
995046,stormy,afternoon,London,24
995047,cloudy,morning,Berlin,20
995048,sunny,afternoon,New York,16
995049,snowy,afternoon,London,27
995050,sunny,afternoon,New York,13
995051,cloudy,night,New York,19
995052,sunny,evening,Tokyo,27
995053,cloudy,night,Berlin,29
995054,cloudy,night,New York,25
995055,snowy,morning,New York,24
995056,stormy,morning,Paris,16
995057,cloudy,night,Tokyo,17
995058,rainy,night,Berlin,13
995059,rainy,night,Tokyo,21
995060,sunny,afternoon,Paris,16
995061,windy,morning,Sydney,17
995062,stormy,night,Paris,14
995063,windy,night,Berlin,11
995064,windy,afternoon,London,27
995065,snowy,night,Paris,24
995066,sunny,evening,New York,22
995067,sunny,night,Paris,16
995068,rainy,night,New York,23
995069,sunny,night,Berlin,11
995070,sunny,night,Tokyo,14
995071,stormy,evening,Paris,21
995072,sunny,evening,London,10
995073,cloudy,night,New York,26
995074,windy,morning,Tokyo,22
995075,snowy,afternoon,Paris,14
995076,stormy,night,New York,24
995077,windy,evening,London,29
995078,cloudy,morning,Berlin,23
995079,sunny,evening,Paris,26
995080,windy,afternoon,Tokyo,13
995081,sunny,morning,London,26
995082,stormy,night,Paris,18
995083,cloudy,night,New York,10
995084,sunny,evening,Sydney,18
995085,rainy,night,Tokyo,22
995086,rainy,night,London,17
995087,snowy,night,Paris,22
995088,stormy,morning,Tokyo,26
995089,windy,afternoon,Tokyo,22
995090,windy,morning,Sydney,21
995091,rainy,evening,New York,29
995092,rainy,night,Berlin,28
995093,sunny,morning,Tokyo,26
995094,windy,afternoon,London,14
995095,cloudy,evening,Sydney,14
995096,windy,night,Berlin,29
995097,cloudy,night,Sydney,17
995098,sunny,night,London,20
995099,cloudy,afternoon,Sydney,15
995100,cloudy,afternoon,Berlin,11
995101,snowy,night,Tokyo,26
995102,snowy,evening,Paris,13
995103,cloudy,afternoon,London,23
995104,stormy,afternoon,Paris,25
995105,stormy,morning,New York,13
995106,snowy,night,London,16
995107,rainy,evening,Berlin,24
995108,sunny,morning,Sydney,16
995109,snowy,night,London,14
995110,sunny,night,Tokyo,12
995111,windy,morning,London,11
995112,rainy,afternoon,Paris,24
995113,snowy,morning,Sydney,17
995114,snowy,night,Sydney,29
995115,snowy,evening,Paris,10
995116,cloudy,evening,Sydney,13
995117,sunny,night,London,29
995118,cloudy,morning,Sydney,18
995119,snowy,afternoon,Paris,19
995120,sunny,evening,Sydney,17
995121,sunny,evening,Berlin,15
995122,sunny,night,Tokyo,23
995123,sunny,afternoon,Tokyo,15
995124,rainy,night,London,17
995125,rainy,afternoon,Sydney,24
995126,windy,evening,Paris,12
995127,cloudy,night,New York,27
995128,windy,morning,Sydney,27
995129,cloudy,morning,London,21
995130,cloudy,morning,New York,18
995131,sunny,afternoon,New York,22
995132,cloudy,morning,Paris,14
995133,rainy,evening,Tokyo,21
995134,stormy,evening,Berlin,17
995135,stormy,morning,New York,14
995136,rainy,afternoon,Tokyo,26
995137,stormy,night,Paris,20
995138,rainy,morning,Sydney,19
995139,snowy,afternoon,Sydney,23
995140,stormy,evening,London,19
995141,sunny,morning,Paris,19
995142,stormy,afternoon,New York,14
995143,sunny,evening,Paris,24
995144,cloudy,afternoon,Berlin,24
995145,sunny,evening,Paris,25
995146,sunny,night,Sydney,26
995147,rainy,morning,Sydney,11
995148,windy,morning,Berlin,27
995149,rainy,night,New York,19
995150,windy,morning,Tokyo,12
995151,cloudy,afternoon,Tokyo,26
995152,stormy,afternoon,Paris,28
995153,stormy,night,Berlin,23
995154,cloudy,night,New York,17
995155,stormy,night,Tokyo,21
995156,stormy,night,Paris,22
995157,sunny,afternoon,London,23
995158,stormy,morning,London,28
995159,rainy,morning,Paris,28
995160,windy,afternoon,New York,11
995161,sunny,evening,Tokyo,26
995162,rainy,evening,Berlin,11
995163,sunny,night,Berlin,21
995164,stormy,evening,Berlin,24
995165,windy,morning,Sydney,19
995166,snowy,afternoon,Sydney,22
995167,sunny,morning,New York,28
995168,snowy,evening,Tokyo,25
995169,rainy,evening,Berlin,26
995170,stormy,night,London,14
995171,stormy,morning,London,29
995172,rainy,morning,Tokyo,24
995173,snowy,evening,Sydney,19
995174,cloudy,afternoon,Paris,29
995175,rainy,night,New York,16
995176,windy,afternoon,Sydney,21
995177,windy,morning,London,17
995178,cloudy,night,Sydney,12
995179,cloudy,night,Tokyo,25
995180,snowy,morning,Tokyo,15
995181,sunny,morning,Sydney,12
995182,stormy,evening,Tokyo,20
995183,sunny,afternoon,Sydney,17
995184,cloudy,evening,New York,18
995185,rainy,morning,Paris,21
995186,windy,night,New York,22
995187,rainy,afternoon,Tokyo,26
995188,rainy,evening,Paris,15
995189,windy,night,London,13
995190,windy,night,New York,25
995191,windy,night,Berlin,12
995192,stormy,night,Sydney,25
995193,sunny,evening,Berlin,12
995194,sunny,evening,Berlin,11
995195,rainy,afternoon,New York,10
995196,stormy,evening,Berlin,25
995197,snowy,evening,Tokyo,24
995198,snowy,night,Sydney,24
995199,sunny,morning,Berlin,13
995200,windy,morning,New York,12
995201,stormy,evening,Paris,20
995202,snowy,night,London,23
995203,cloudy,night,Sydney,27
995204,snowy,night,Tokyo,10
995205,cloudy,night,London,16
995206,sunny,night,Berlin,24
995207,windy,afternoon,Berlin,25
995208,stormy,afternoon,London,11
995209,snowy,afternoon,Berlin,13
995210,windy,night,Tokyo,16
995211,cloudy,evening,Berlin,14
995212,rainy,night,New York,21
995213,windy,afternoon,London,27
995214,windy,night,Sydney,18
995215,sunny,evening,London,14
995216,cloudy,evening,Sydney,28
995217,cloudy,afternoon,Berlin,26
995218,rainy,morning,Berlin,10
995219,cloudy,night,Sydney,19
995220,snowy,afternoon,Tokyo,25
995221,rainy,evening,Berlin,19
995222,cloudy,morning,Tokyo,19
995223,snowy,morning,Paris,18
995224,cloudy,night,Berlin,13
995225,snowy,morning,Sydney,23
995226,sunny,afternoon,Sydney,21
995227,sunny,evening,London,27
995228,snowy,night,Tokyo,18
995229,sunny,morning,Sydney,26
995230,stormy,afternoon,New York,20
995231,stormy,afternoon,Sydney,17
995232,snowy,night,New York,19
995233,snowy,evening,Paris,23
995234,sunny,night,Berlin,23
995235,sunny,afternoon,Sydney,27
995236,cloudy,afternoon,London,27
995237,stormy,morning,Paris,18
995238,windy,evening,London,26
995239,snowy,evening,Berlin,10
995240,sunny,morning,New York,19
995241,windy,evening,Tokyo,26
995242,sunny,night,Paris,11
995243,snowy,night,Berlin,22
995244,windy,afternoon,New York,12
995245,stormy,afternoon,Paris,24
995246,stormy,afternoon,New York,25
995247,cloudy,morning,London,12
995248,stormy,night,Paris,11
995249,windy,evening,New York,25
995250,sunny,night,Berlin,27
995251,stormy,night,Berlin,12
995252,sunny,evening,Tokyo,25
995253,stormy,evening,New York,11
995254,windy,night,London,12
995255,stormy,afternoon,Tokyo,21
995256,stormy,night,London,10
995257,cloudy,afternoon,Tokyo,23
995258,cloudy,afternoon,London,14
995259,snowy,afternoon,Berlin,13
995260,windy,afternoon,Berlin,20
995261,sunny,morning,Tokyo,14
995262,rainy,evening,London,22
995263,stormy,evening,New York,23
995264,windy,night,London,26
995265,snowy,evening,New York,18
995266,stormy,morning,Paris,24
995267,rainy,afternoon,New York,10
995268,stormy,morning,Berlin,14
995269,cloudy,night,Sydney,29
995270,snowy,evening,Berlin,24
995271,stormy,evening,Sydney,15
995272,windy,night,Sydney,16
995273,cloudy,night,London,12
995274,snowy,afternoon,Sydney,26
995275,stormy,evening,Paris,21
995276,sunny,evening,New York,25
995277,windy,afternoon,New York,23
995278,sunny,afternoon,Tokyo,13
995279,sunny,night,London,11
995280,cloudy,night,Berlin,16
995281,stormy,afternoon,New York,18
995282,stormy,afternoon,New York,23
995283,stormy,night,New York,10
995284,snowy,evening,London,11
995285,cloudy,night,Sydney,11
995286,stormy,afternoon,Paris,27
995287,cloudy,morning,Sydney,25
995288,sunny,night,Tokyo,19
995289,cloudy,evening,Berlin,13
995290,snowy,morning,Sydney,28
995291,rainy,evening,Sydney,10
995292,cloudy,night,London,15
995293,snowy,morning,Sydney,29
995294,cloudy,afternoon,New York,16
995295,windy,morning,Berlin,23
995296,rainy,night,New York,19
995297,cloudy,night,Paris,13
995298,sunny,night,New York,13
995299,rainy,evening,New York,12
995300,cloudy,night,Tokyo,29
995301,snowy,afternoon,Tokyo,12
995302,cloudy,afternoon,London,27
995303,cloudy,morning,Berlin,23
995304,sunny,evening,Paris,23
995305,sunny,evening,Sydney,25
995306,sunny,night,New York,22
995307,rainy,night,Berlin,26
995308,rainy,morning,Tokyo,26
995309,sunny,night,Berlin,15
995310,stormy,night,Berlin,10
995311,stormy,morning,London,19
995312,cloudy,night,Sydney,25
995313,snowy,evening,Tokyo,27
995314,windy,evening,New York,20
995315,stormy,evening,Paris,15
995316,snowy,evening,Tokyo,26
995317,rainy,afternoon,Tokyo,18
995318,rainy,evening,Tokyo,20
995319,snowy,night,Paris,21
995320,sunny,morning,Sydney,21
995321,rainy,evening,Paris,15
995322,rainy,morning,Paris,14
995323,cloudy,night,Tokyo,16
995324,windy,afternoon,Tokyo,21
995325,sunny,afternoon,Paris,17
995326,rainy,evening,London,17
995327,stormy,evening,Sydney,29
995328,windy,afternoon,London,29
995329,cloudy,afternoon,Sydney,17
995330,windy,afternoon,Tokyo,17
995331,windy,morning,London,10
995332,snowy,afternoon,New York,24
995333,stormy,afternoon,Berlin,26
995334,rainy,afternoon,Sydney,21
995335,rainy,morning,Sydney,16
995336,cloudy,afternoon,Paris,14
995337,cloudy,evening,New York,26
995338,windy,evening,Sydney,17
995339,rainy,afternoon,Sydney,17
995340,rainy,evening,New York,11
995341,cloudy,night,Berlin,14
995342,cloudy,afternoon,Berlin,29
995343,snowy,afternoon,Sydney,25
995344,stormy,evening,Tokyo,13
995345,stormy,afternoon,Berlin,23
995346,snowy,night,Tokyo,14
995347,stormy,evening,Berlin,21
995348,stormy,night,Berlin,26
995349,snowy,morning,Sydney,16
995350,stormy,evening,Sydney,15
995351,stormy,morning,New York,10
995352,sunny,evening,Sydney,24
995353,cloudy,morning,Sydney,27
995354,stormy,afternoon,Berlin,11
995355,snowy,morning,New York,15
995356,stormy,morning,Tokyo,13
995357,rainy,evening,Berlin,19
995358,rainy,evening,London,25
995359,sunny,morning,Tokyo,22
995360,rainy,afternoon,New York,21
995361,snowy,night,New York,18
995362,rainy,evening,London,21
995363,sunny,afternoon,London,10
995364,sunny,night,London,13
995365,cloudy,morning,New York,17
995366,rainy,night,Berlin,19
995367,windy,evening,Berlin,24
995368,cloudy,evening,New York,22
995369,rainy,morning,Sydney,24
995370,sunny,evening,Tokyo,11
995371,cloudy,evening,Paris,19
995372,cloudy,morning,Tokyo,25
995373,windy,afternoon,Sydney,20
995374,stormy,night,Tokyo,25
995375,snowy,evening,London,12
995376,stormy,night,Berlin,11
995377,rainy,night,London,20
995378,cloudy,afternoon,Tokyo,20
995379,rainy,morning,London,22
995380,stormy,afternoon,Berlin,10
995381,snowy,afternoon,Sydney,15
995382,rainy,afternoon,London,14
995383,cloudy,evening,Paris,10
995384,rainy,afternoon,Berlin,22
995385,windy,morning,Sydney,25
995386,rainy,evening,New York,19
995387,rainy,morning,Tokyo,12
995388,snowy,afternoon,London,18
995389,snowy,night,Sydney,28
995390,sunny,night,London,21
995391,stormy,evening,Tokyo,14
995392,rainy,night,Tokyo,24
995393,cloudy,evening,New York,17
995394,snowy,night,Berlin,13
995395,rainy,evening,Tokyo,28
995396,rainy,afternoon,Sydney,13
995397,sunny,night,London,22
995398,snowy,morning,Sydney,25
995399,cloudy,morning,London,10
995400,sunny,evening,Sydney,23
995401,windy,night,New York,15
995402,stormy,afternoon,Tokyo,10
995403,cloudy,afternoon,London,18
995404,stormy,night,Paris,27
995405,rainy,night,London,21
995406,stormy,afternoon,Tokyo,18
995407,rainy,afternoon,New York,28
995408,rainy,night,Berlin,27
995409,windy,morning,Berlin,22
995410,windy,evening,New York,17
995411,sunny,evening,New York,26
995412,stormy,afternoon,New York,28
995413,snowy,night,Sydney,13
995414,cloudy,night,Berlin,17
995415,windy,evening,Tokyo,21
995416,sunny,afternoon,Paris,25
995417,windy,evening,Sydney,11
995418,snowy,morning,Berlin,16
995419,rainy,morning,Berlin,27
995420,snowy,morning,Sydney,11
995421,rainy,evening,Tokyo,24
995422,windy,morning,London,23
995423,cloudy,afternoon,Sydney,27
995424,cloudy,afternoon,Tokyo,13
995425,sunny,evening,Paris,18
995426,rainy,night,Tokyo,14
995427,sunny,night,Tokyo,15
995428,cloudy,evening,Tokyo,16
995429,stormy,evening,Berlin,21
995430,cloudy,afternoon,Sydney,16
995431,sunny,afternoon,New York,29
995432,stormy,evening,Paris,14
995433,cloudy,morning,Berlin,25
995434,windy,afternoon,New York,20
995435,rainy,evening,London,11
995436,sunny,night,Paris,24
995437,stormy,afternoon,Sydney,28
995438,sunny,evening,Berlin,28
995439,snowy,afternoon,Sydney,18
995440,rainy,evening,Sydney,28
995441,rainy,night,Berlin,28
995442,snowy,night,Tokyo,27
995443,rainy,afternoon,Tokyo,24
995444,windy,afternoon,New York,17
995445,snowy,afternoon,London,14
995446,windy,afternoon,Tokyo,15
995447,sunny,afternoon,Tokyo,24
995448,snowy,afternoon,London,29
995449,windy,evening,Berlin,10
995450,rainy,night,Paris,12
995451,windy,afternoon,London,29
995452,snowy,morning,New York,15
995453,rainy,evening,New York,29
995454,snowy,morning,London,16
995455,stormy,afternoon,Berlin,11
995456,sunny,afternoon,London,15
995457,cloudy,morning,Sydney,15
995458,sunny,morning,Tokyo,14
995459,stormy,morning,Berlin,23
995460,snowy,night,Tokyo,18
995461,cloudy,morning,New York,12
995462,stormy,afternoon,Paris,21
995463,snowy,morning,London,11
995464,snowy,morning,New York,12
995465,windy,afternoon,London,13
995466,windy,afternoon,Paris,25
995467,snowy,morning,Berlin,29
995468,cloudy,night,New York,16
995469,windy,evening,Berlin,28
995470,rainy,night,New York,15
995471,sunny,afternoon,Tokyo,25
995472,windy,night,New York,29
995473,cloudy,night,Berlin,15
995474,sunny,night,New York,21
995475,snowy,evening,Sydney,12
995476,snowy,morning,Sydney,11
995477,rainy,night,New York,27
995478,rainy,morning,Tokyo,24
995479,windy,night,Tokyo,17
995480,rainy,evening,New York,14
995481,windy,evening,Paris,16
995482,windy,afternoon,New York,15
995483,snowy,night,Berlin,10
995484,cloudy,evening,New York,28
995485,snowy,evening,Paris,20
995486,snowy,afternoon,Paris,12
995487,cloudy,evening,New York,15
995488,rainy,morning,Berlin,15
995489,stormy,night,Berlin,12
995490,sunny,afternoon,New York,20
995491,snowy,afternoon,Berlin,22
995492,windy,afternoon,London,10
995493,rainy,morning,Paris,11
995494,windy,afternoon,Sydney,27
995495,windy,evening,New York,26
995496,sunny,afternoon,Paris,17
995497,cloudy,morning,Sydney,22
995498,rainy,afternoon,Tokyo,17
995499,rainy,morning,New York,21
995500,stormy,evening,New York,14
995501,rainy,evening,London,12
995502,rainy,night,Berlin,25
995503,rainy,afternoon,Sydney,21
995504,cloudy,night,Sydney,12
995505,stormy,afternoon,London,14
995506,rainy,afternoon,Tokyo,17
995507,stormy,afternoon,Berlin,14
995508,sunny,morning,Berlin,28
995509,cloudy,night,New York,21
995510,snowy,afternoon,Tokyo,23
995511,stormy,morning,Berlin,14
995512,sunny,morning,New York,18
995513,sunny,afternoon,Berlin,25
995514,stormy,afternoon,Tokyo,24
995515,stormy,night,New York,16
995516,sunny,evening,Berlin,13
995517,rainy,morning,Berlin,11
995518,snowy,morning,Berlin,23
995519,sunny,night,Sydney,15
995520,snowy,morning,London,20
995521,rainy,morning,Sydney,14
995522,stormy,afternoon,New York,11
995523,snowy,afternoon,Paris,21
995524,rainy,evening,New York,19
995525,snowy,afternoon,London,11
995526,sunny,evening,London,12
995527,snowy,afternoon,London,15
995528,sunny,morning,Berlin,21
995529,rainy,afternoon,Sydney,11
995530,cloudy,afternoon,Tokyo,23
995531,rainy,evening,New York,24
995532,sunny,evening,Paris,18
995533,rainy,afternoon,Berlin,17
995534,sunny,night,Sydney,10
995535,cloudy,afternoon,New York,11
995536,cloudy,morning,London,19
995537,sunny,night,Tokyo,14
995538,snowy,evening,Sydney,19
995539,stormy,afternoon,Tokyo,27
995540,snowy,morning,Sydney,18
995541,windy,afternoon,New York,19
995542,sunny,night,Berlin,28
995543,cloudy,afternoon,Sydney,11
995544,stormy,morning,Berlin,24
995545,snowy,night,Sydney,10
995546,snowy,evening,Tokyo,19
995547,sunny,evening,New York,28
995548,sunny,morning,London,15
995549,rainy,night,Sydney,26
995550,stormy,morning,Paris,26
995551,windy,afternoon,London,22
995552,snowy,evening,Berlin,16
995553,rainy,night,New York,15
995554,sunny,night,Tokyo,13
995555,windy,evening,New York,18
995556,stormy,morning,London,11
995557,snowy,morning,London,26
995558,windy,morning,Paris,25
995559,windy,afternoon,New York,16
995560,cloudy,afternoon,Paris,10
995561,windy,afternoon,Sydney,24
995562,stormy,morning,London,11
995563,sunny,evening,Sydney,21
995564,sunny,morning,Tokyo,20
995565,windy,night,Tokyo,26
995566,snowy,night,Sydney,12
995567,cloudy,night,Sydney,24
995568,stormy,night,London,14
995569,rainy,morning,Tokyo,17
995570,cloudy,evening,London,20
995571,snowy,morning,Paris,15
995572,rainy,evening,London,15
995573,windy,afternoon,New York,11
995574,cloudy,morning,Sydney,29
995575,rainy,afternoon,Paris,16
995576,snowy,afternoon,New York,20
995577,windy,night,London,19
995578,stormy,afternoon,Tokyo,19
995579,sunny,morning,Tokyo,27
995580,snowy,evening,Sydney,20
995581,sunny,morning,Sydney,23
995582,windy,evening,Tokyo,28
995583,snowy,morning,Paris,20
995584,snowy,afternoon,Tokyo,21
995585,cloudy,afternoon,Tokyo,18
995586,cloudy,afternoon,Paris,14
995587,rainy,afternoon,London,26
995588,cloudy,night,Sydney,15
995589,snowy,afternoon,Sydney,19
995590,rainy,evening,Tokyo,23
995591,cloudy,evening,Berlin,17
995592,snowy,evening,Paris,14
995593,stormy,afternoon,Berlin,13
995594,stormy,night,Paris,12
995595,sunny,afternoon,Paris,15
995596,rainy,evening,Berlin,18
995597,cloudy,afternoon,New York,26
995598,cloudy,night,Berlin,12
995599,sunny,morning,London,25
995600,cloudy,night,Paris,15
995601,snowy,evening,London,15
995602,stormy,evening,Paris,16
995603,cloudy,night,Sydney,24
995604,rainy,night,Paris,13
995605,sunny,morning,Sydney,23
995606,cloudy,evening,Tokyo,28
995607,cloudy,morning,Sydney,21
995608,snowy,night,Sydney,14
995609,cloudy,afternoon,Paris,23
995610,windy,night,Berlin,13
995611,rainy,morning,Berlin,15
995612,sunny,afternoon,New York,23
995613,sunny,night,Sydney,26
995614,sunny,night,Tokyo,11
995615,cloudy,morning,Paris,26
995616,sunny,evening,Tokyo,18
995617,rainy,afternoon,Sydney,25
995618,stormy,morning,New York,17
995619,windy,morning,Paris,23
995620,windy,night,Sydney,10
995621,cloudy,night,London,14
995622,snowy,night,Sydney,27
995623,stormy,morning,London,13
995624,sunny,night,Tokyo,17
995625,cloudy,morning,Tokyo,12
995626,stormy,morning,Berlin,14
995627,stormy,evening,Tokyo,23
995628,rainy,afternoon,Berlin,19
995629,rainy,afternoon,Sydney,11
995630,rainy,afternoon,Paris,11
995631,rainy,afternoon,New York,27
995632,sunny,afternoon,Sydney,21
995633,rainy,afternoon,Paris,23
995634,windy,morning,London,26
995635,snowy,night,Sydney,20
995636,rainy,afternoon,Sydney,21
995637,cloudy,night,New York,26
995638,windy,afternoon,London,17
995639,sunny,night,New York,19
995640,sunny,night,London,21
995641,windy,evening,Paris,19
995642,snowy,afternoon,Berlin,22
995643,snowy,morning,Berlin,27
995644,sunny,afternoon,Paris,13
995645,cloudy,morning,London,29
995646,cloudy,morning,Tokyo,23
995647,snowy,evening,Berlin,23
995648,windy,afternoon,Tokyo,18
995649,sunny,night,Tokyo,10
995650,sunny,evening,Tokyo,18
995651,windy,morning,Berlin,27
995652,sunny,night,London,10
995653,stormy,afternoon,Berlin,27
995654,snowy,night,Paris,27
995655,windy,night,Paris,20
995656,cloudy,afternoon,Sydney,14
995657,rainy,afternoon,London,20
995658,windy,evening,Paris,24
995659,rainy,evening,New York,20
995660,rainy,night,Berlin,17
995661,snowy,afternoon,Tokyo,17
995662,sunny,morning,London,22
995663,windy,morning,Sydney,21
995664,snowy,afternoon,Berlin,24
995665,windy,morning,New York,22
995666,snowy,night,New York,29
995667,stormy,evening,Berlin,15
995668,sunny,afternoon,Tokyo,24
995669,snowy,afternoon,Berlin,23
995670,cloudy,afternoon,Sydney,13
995671,stormy,afternoon,Sydney,23
995672,stormy,evening,Sydney,23
995673,stormy,morning,Paris,29
995674,cloudy,morning,New York,13
995675,cloudy,afternoon,London,25
995676,cloudy,morning,Paris,11
995677,windy,afternoon,Berlin,14
995678,cloudy,evening,Tokyo,13
995679,stormy,evening,Tokyo,29
995680,cloudy,night,London,28
995681,sunny,morning,London,17
995682,snowy,night,Sydney,28
995683,rainy,morning,Paris,10
995684,stormy,night,New York,27
995685,snowy,evening,Sydney,27
995686,snowy,night,Tokyo,12
995687,windy,morning,Paris,29
995688,snowy,night,Paris,12
995689,cloudy,morning,Tokyo,12
995690,windy,night,New York,28
995691,rainy,morning,London,16
995692,snowy,evening,Sydney,26
995693,sunny,night,New York,16
995694,stormy,evening,New York,20
995695,sunny,evening,New York,16
995696,snowy,afternoon,Paris,20
995697,cloudy,morning,Sydney,12
995698,cloudy,evening,Sydney,14
995699,rainy,night,Berlin,20
995700,rainy,night,Tokyo,20
995701,windy,morning,New York,16
995702,snowy,night,Paris,18
995703,rainy,afternoon,Sydney,11
995704,windy,evening,New York,25
995705,rainy,morning,Tokyo,14
995706,cloudy,morning,Sydney,26
995707,sunny,afternoon,Paris,13
995708,cloudy,night,Paris,10
995709,stormy,afternoon,Paris,18
995710,sunny,evening,London,24
995711,snowy,night,London,29
995712,sunny,afternoon,Paris,20
995713,rainy,morning,London,13
995714,rainy,morning,Berlin,20
995715,rainy,evening,Paris,19
995716,windy,evening,Sydney,23
995717,windy,morning,Berlin,13
995718,snowy,morning,New York,22
995719,cloudy,evening,Paris,18
995720,sunny,afternoon,Sydney,24
995721,rainy,evening,Sydney,19
995722,rainy,night,Paris,12
995723,rainy,morning,London,20
995724,windy,morning,New York,27
995725,windy,evening,Berlin,23
995726,cloudy,morning,London,28
995727,rainy,evening,Berlin,10
995728,snowy,morning,Berlin,24
995729,windy,night,Berlin,26
995730,cloudy,morning,New York,25
995731,sunny,night,London,25
995732,cloudy,evening,New York,28
995733,stormy,morning,Tokyo,24
995734,rainy,evening,Berlin,17
995735,cloudy,evening,New York,13
995736,cloudy,night,Berlin,22
995737,cloudy,afternoon,New York,20
995738,windy,evening,London,11
995739,rainy,afternoon,Paris,11
995740,cloudy,morning,Tokyo,17
995741,rainy,morning,New York,25
995742,sunny,night,Tokyo,14
995743,cloudy,evening,Tokyo,10
995744,sunny,afternoon,Paris,14
995745,windy,afternoon,Sydney,17
